make,model,gen_start,gen_end,trim,tier,tier_name,top_engine,audio_brand,expected_parts,notes,cult
Mini,Cooper,2007,2013,JCW,4,performance,1.6L Turbo I4 (208hp),Harman Kardon,"Harman Kardon amp, JCW ECM, sport suspension, Brembo brakes, sport exhaust, 208hp",John Cooper Works,CULT
Mini,Cooper,2014,2021,Base,1,base,1.5L Turbo I3,,,B38 3-cylinder turbo,
Mini,Cooper,2014,2021,S,3,premium,2.0L Turbo I4,,"Turbo ECM, sport suspension, sport brakes, 189hp",B48 turbo,CULT
Mini,Cooper,2014,2021,JCW,4,performance,2.0L Turbo I4 (228hp),Harman Kardon,"Harman Kardon amp, JCW ECM, sport suspension, Brembo brakes, sport exhaust, 228hp",,CULT
Chevrolet,Cobalt,2005,2010,Base,1,base,2.2L I4,,,Ecotec,
Chevrolet,Cobalt,2005,2010,LT,2,mid,2.2L I4,,"Power windows, cruise, A/C",,
Chevrolet,Cobalt,2005,2010,SS,4,performance,2.0L Turbo I4 (260hp),,"Turbo ECM, LSD, sport suspension, Recaro seats, sport exhaust","Supercharged 2005-2007, turbocharged 2008-2010. Quick car.",CULT
Hyundai,Accent,2000,2005,GL,1,base,1.5L I4,,,,
Hyundai,Accent,2000,2005,GT,2,mid,1.6L I4,,"Power windows, A/C, alloy wheels",Hatchback,
Hyundai,Accent,2006,2011,GLS,1,base,1.6L I4,,,,
Hyundai,Accent,2006,2011,SE,2,mid,1.6L I4,,"Sport appearance, alloy wheels, moonroof possible",,
Hyundai,Accent,2012,2017,GLS,1,base,1.6L I4,,,,
Hyundai,Accent,2012,2017,SE,2,mid,1.6L I4,,"Heated seats, moonroof possible, alloy wheels",,
Dodge,Avenger,2008,2014,SE,1,base,2.4L I4,,,,
Dodge,Avenger,2008,2014,SXT,2,mid,3.6L V6,,"V6 ECM, power seats, heated seats possible",Pentastar from 2011,
Dodge,Avenger,2008,2014,R/T,3,premium,3.6L V6,,"V6 ECM, heated leather, moonroof, Boston Acoustics stereo possible",,
Cadillac,SRX,2004,2009,V6,2,mid,3.6L V6,Bose,"Bose amp, power seats, heated seats, OnStar",,
Cadillac,SRX,2004,2009,V8,3,premium,4.6L V8,Bose,"Bose amp, Northstar V8 ECM, heated/cooled seats, nav, adaptive cruise",Northstar V8,
Cadillac,SRX,2010,2016,Base,2,mid,3.0L V6,Bose,"Bose amp, heated leather, CUE (2013+), rear camera",,
Cadillac,SRX,2010,2016,Luxury,2,mid,3.6L V6,Bose,"Bose amp, V6 ECM, heated leather, CUE, blind spot",,
Cadillac,SRX,2010,2016,Performance,3,premium,3.6L V6,Bose,"Bose amp, V6 ECM, heated/cooled leather, nav, adaptive cruise, 20in wheels",,
Cadillac,SRX,2010,2016,Premium,3,premium,3.6L V6,Bose,"Bose amp, V6 ECM, heated/cooled leather, nav, adaptive cruise, heads-up display, blind spot",,
Pontiac,G6,2005,2010,Base,1,base,2.4L I4,,,,
Pontiac,G6,2005,2010,GT,2,mid,3.5L V6,,"V6 ECM, power seats, moonroof possible, heated seats",,
Pontiac,G6,2005,2010,GTP,3,premium,3.9L V6,,"3.9L V6 ECM, sport suspension, heated leather, moonroof, 240hp",,
Pontiac,G6,2005,2010,GXP,4,performance,3.6L V6 (252hp),,"3.6L V6 ECM, sport suspension, 18in wheels, Recaro seats possible",Top trim. 252hp V6.,
Chevrolet,Sonic,2012,2020,LS,1,base,1.8L I4,,,,
Chevrolet,Sonic,2012,2020,LT,2,mid,1.4L Turbo,,"Turbo ECM, MyLink, rear camera, heated seats possible",,
Chevrolet,Sonic,2012,2020,LTZ,3,premium,1.4L Turbo,,"Turbo ECM, heated leather, moonroof, rear camera",Pre-2017,
Chevrolet,Sonic,2012,2020,Premier,3,premium,1.4L Turbo,,"Turbo ECM, heated leather, rear camera",2017+,
Chevrolet,Sonic,2012,2020,RS,2,mid,1.4L Turbo,,"Sport appearance, sport suspension, ground effects",,
Chevrolet,S10,1994,2004,Base,1,base,2.2L I4,,,,
Chevrolet,S10,1994,2004,LS,2,mid,4.3L V6,,"V6 ECM, power windows, cruise, A/C",Vortec 4300,
Chevrolet,S10,1994,2004,ZR2,3,premium,4.3L V6,,"V6 ECM, off-road suspension, wider track, skid plates, locking diff possible",Off-road S10. Wider body.,
Chevrolet,S10,1994,2004,Xtreme,2,mid,4.3L V6,,"V6 ECM, lowered suspension, body kit, sport appearance",Lowered sport truck,
Ford,Crown Victoria,1998,2011,Base,1,base,4.6L V8,,,Panther platform,
Ford,Crown Victoria,1998,2011,LX,2,mid,4.6L V8,,"Heated seats, leather, power seats, cruise",,
Ford,Crown Victoria,1998,2011,LX Sport,3,premium,4.6L V8,,"Heated leather, sport suspension, dual exhaust, limited slip, handling pkg",Sport pkg. Cop car handling in a civilian.,
Ford,Crown Victoria,1998,2011,Police Interceptor,2,mid,4.6L V8,,"Heavy duty cooling, heavy duty suspension, calibrated for pursuit, spot light wiring",CVPI. Parts are interchangeable with civilian.,
Buick,LeSabre,1992,2005,Custom,1,base,3.8L V6,,,3800 Series II V6,
Buick,LeSabre,1992,2005,Limited,3,premium,3.8L V6,,"Heated leather, power seats, dual climate, Concert Sound II",,
Nissan,Quest,1999,2002,GXE,1,base,3.3L V6,,,Built with Mercury Villager,
Nissan,Quest,1999,2002,GLE,3,premium,3.3L V6,Bose,"Bose amp, heated leather, moonroof, rear entertainment",,
Nissan,Quest,2004,2009,S,1,base,3.5L V6,,,VQ35DE,
Nissan,Quest,2004,2009,SL,3,premium,3.5L V6,Bose,"Bose amp, heated leather, moonroof, rear entertainment, power liftgate",,
Nissan,Quest,2011,2017,S,1,base,3.5L V6,,,,
Nissan,Quest,2011,2017,SV,2,mid,3.5L V6,,"Power sliding doors, rear camera, heated seats",,
Nissan,Quest,2011,2017,SL,3,premium,3.5L V6,Bose,"Bose amp, heated leather, moonroof, nav, rear entertainment, around view monitor",,
Chevrolet,Astro,1995,2005,Base,1,base,4.3L V6,,,Vortec 4300. RWD or AWD.,
Chevrolet,Astro,1995,2005,LS,2,mid,4.3L V6,,"Power windows, rear A/C, Dutch doors",,
Chevrolet,Astro,1995,2005,LT,3,premium,4.3L V6,,"Heated leather, power seats, rear A/C, premium stereo",,
Toyota,Prius,2001,2003,Base,1,base,1.5L Hybrid,,,1st gen. NHW11. One trim.,
Toyota,Prius,2004,2009,Base,1,base,1.5L Hybrid,,,2nd gen. NHW20.,
Toyota,Prius,2004,2009,Touring,2,mid,1.5L Hybrid,,"HID headlights, LED taillights, 16in wheels",,
Toyota,Prius,2010,2015,Two,1,base,1.8L Hybrid,,,3rd gen. ZVW30.,
Toyota,Prius,2010,2015,Three,2,mid,1.8L Hybrid,,"Moonroof, smart key, Entune",,
Toyota,Prius,2010,2015,Four,3,premium,1.8L Hybrid,JBL,"JBL amp, heated leather (SofTex), nav, heads-up display, moonroof",,
Toyota,Prius,2010,2015,Five,3,premium,1.8L Hybrid,JBL,"JBL amp, heated leather, nav, heads-up display, dynamic radar cruise, lane departure",Top trim,
Chevrolet,HHR,2006,2011,LS,1,base,2.2L I4,,,Ecotec,
Chevrolet,HHR,2006,2011,LT,2,mid,2.2L I4,,"Power windows, cruise, A/C, OnStar",,
Chevrolet,HHR,2006,2011,SS,4,performance,2.0L Turbo I4 (260hp),,"Turbo ECM, LSD, sport suspension, 18in wheels, sport exhaust",Same powertrain as Cobalt SS turbo. Sleeper.,CULT
